Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Altona North,45 Hearn St,5,h,1085000,S,FN,3/9/16,11.1,3025,5,3,6,592,251,1965,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132
Altona North,4 Knapp St,3,h,781000,S,Jas,3/9/16,11.1,3025,3,1,2,533,117,1970,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,5132
Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,4/3/17,11.1,3025,2,1,1,77,77,2009,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan,5132
Altona North,33 Carthy St,3,h,683000,S,FN,4/6/16,11.1,3025,3,1,2,534,167,1967,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan,5132
Altona North,1/5 Little St,3,h,720000,VB,Greg,6/8/16,11.1,3025,3,2,1,0,130,2012,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan,5132
Altona North,1/95 Mills St,3,h,588000,S,Williams,7/5/16,11.1,3025,3,1,1,328,118,1970,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan,5132
Altona North,5 Binns St,3,h,710000,PI,Village,7/11/16,11.1,3025,3,1,3,540,116,1960,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan,5132
Altona North,25 Allan St,4,h,875000,SP,Jas,8/10/16,11.1,3025,3,1,4,559,169,1965,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132
Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/5/16,11.1,3025,3,2,2,171,109,2012,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,5132
Altona North,11 Beevers St,3,h,708000,S,Greg,15/10/16,11.1,3025,3,1,2,585,97,1960,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan,5132
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,22/5/16,11.1,3025,4,2,4,315,170,2008,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,22/8/16,11.1,3025,5,2,2,276,100,2010,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132
Altona North,2 Gadsden St,3,h,728500,S,Jas,22/8/16,11.1,3025,3,1,1,531,157,1960,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan,5132
Altona North,24 Hansen St,3,h,931000,S,hockingstuart,22/8/16,11.1,3025,3,2,1,590,160,1950,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132
Altona North,6 Hill St,3,h,815000,S,hockingstuart,25/2/17,11.1,3025,3,2,3,555,130,1960,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,5132
Altona North,5 Cresser St,4,h,1200000,SP,RT,27/11/16,11.1,3025,4,1,4,633,158,1960,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan,5132
Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,28/8/16,11.1,3025,2,1,1,153,70,1970,Hobsons Bay City Council,-37.8332,144.8649,Western Metropolitan,5132
